Date,price,short_mavg,long_mavg,signal,positions
2016-01-01,434.3340148925781,434.3340148925781,434.3340148925781,0.0,
2016-01-02,433.43798828125,433.88600158691406,433.88600158691406,0.0,0.0
2016-01-03,430.010986328125,432.5943298339844,432.5943298339844,0.0,0.0
2016-01-04,433.09100341796875,432.71849822998047,432.71849822998047,0.0,0.0
2016-01-05,431.9599914550781,432.566796875,432.566796875,0.0,0.0
2016-01-06,429.1050109863281,431.52099609375,431.9898325602214,-1.0,-1.0
2016-01-07,458.0480041503906,436.4429992675781,435.7124285016741,1.0,2.0
2016-01-08,453.2300109863281,441.08680419921876,437.90212631225586,1.0,0.0
2016-01-09,447.6109924316406,443.9908020019531,438.98088921440973,1.0,0.0
2016-01-10,447.9909973144531,447.19700317382814,439.88190002441405,1.0,0.0
2016-01-11,448.4280090332031,451.0616027832031,441.2912994384766,1.0,0.0
2016-01-12,435.69000244140625,446.5900024414062,441.51650085449216,1.0,0.0
2016-01-13,432.3710021972656,442.41820068359374,441.75250244140625,1.0,0.0
2016-01-14,430.3059997558594,438.9572021484375,441.4740020751953,-1.0,-2.0
2016-01-15,364.33099365234375,422.22520141601564,434.7111022949219,-1.0,0.0
2016-01-16,387.5360107421875,410.0468017578125,430.5542022705078,-1.0,0.0
2016-01-17,382.29901123046875,399.368603515625,422.97930297851565,-1.0,0.0
2016-01-18,387.1679992675781,390.3280029296875,416.37310180664065,-1.0,0.0
2016-01-19,380.14898681640625,380.2966003417969,409.6269012451172,-1.0,0.0
2016-01-20,420.2300109863281,391.4764038085938,406.8508026123047,-1.0,0.0
2016-01-21,410.2619934082031,396.0216003417969,403.03420104980466,-1.0,0.0
2016-01-22,382.49200439453125,396.06019897460936,397.7144012451172,-1.0,0.0
2016-01-23,387.4909973144531,396.1247985839844,393.2264007568359,1.0,2.0
2016-01-24,402.97100830078125,400.6892028808594,390.49290161132814,1.0,0.0
2016-01-25,391.72601318359375,394.9884033203125,393.23240356445314,1.0,0.0
2016-01-26,392.15301513671875,391.3666076660156,393.69410400390626,-1.0,-2.0
2016-01-27,394.97198486328125,393.86260375976565,394.9614013671875,-1.0,0.0
2016-01-28,380.28900146484375,392.4222045898438,394.27350158691405,-1.0,0.0
2016-01-29,379.4739990234375,387.722802734375,394.2060028076172,-1.0,0.0
2016-01-30,378.2550048828125,385.0286010742187,390.0085021972656,-1.0,0.0
2016-01-31,368.7669982910156,380.3513977050781,385.8590026855469,-1.0,0.0
2016-02-01,373.0559997558594,375.96820068359375,384.9154022216797,-1.0,0.0
2016-02-02,374.447998046875,374.8,383.61110229492186,-1.0,0.0
2016-02-03,369.9490051269531,372.89500122070314,380.30890197753905,-1.0,0.0
2016-02-04,389.593994140625,375.1627990722656,380.0957000732422,-1.0,0.0
2016-02-05,386.54901123046875,378.7192016601563,379.53529968261716,-1.0,0.0
2016-02-06,376.5220031738281,379.41240234375,377.6903015136719,1.0,2.0
2016-02-07,376.6199951171875,379.8468017578125,377.3234008789062,1.0,0.0
2016-02-08,373.4469909667969,380.54639892578126,376.7207000732422,1.0,0.0
2016-02-09,376.02899169921875,377.8333984375,376.4980987548828,1.0,0.0
2016-02-10,381.64898681640625,376.8533935546875,377.7862976074219,-1.0,-2.0
2016-02-11,379.65399169921875,377.47979125976565,378.4460968017578,-1.0,0.0
2016-02-12,384.26300048828125,379.0083923339844,379.42759704589844,-1.0,0.0
2016-02-13,391.8599853515625,382.6909912109375,381.6186950683594,1.0,2.0
2016-02-14,407.2300109863281,388.9311950683594,383.3822967529297,1.0,0.0
2016-02-15,400.18499755859375,392.6383972167969,384.7458953857422,1.0,0.0
2016-02-16,407.4880065917969,398.2052001953125,387.8424957275391,1.0,0.0
2016-02-17,416.3219909667969,404.61699829101565,391.8126953125,1.0,0.0
2016-02-18,422.37298583984375,410.7195983886719,396.7052947998047,1.0,0.0
2016-02-19,420.7850036621094,413.43059692382815,401.18089599609374,1.0,0.0
2016-02-20,437.16400146484375,420.82639770507814,406.7323974609375,1.0,0.0
2016-02-21,438.7980041503906,427.08839721679686,412.6467987060547,1.0,0.0
2016-02-22,437.74798583984375,431.37359619140625,417.99529724121095,1.0,0.0
2016-02-23,420.7359924316406,431.04619750976565,420.8828979492188,1.0,0.0
2016-02-24,424.9549865722656,431.88019409179685,422.6553955078125,1.0,0.0
2016-02-25,424.54400634765625,429.3561950683594,425.09129638671874,1.0,0.0
2016-02-26,432.1520080566406,428.02699584960936,427.5576965332031,1.0,0.0
2016-02-27,432.5190124511719,426.981201171875,429.1773986816406,-1.0,-2.0
2016-02-28,433.5039978027344,429.53480224609376,430.2904998779297,-1.0,0.0
2016-02-29,437.6969909667969,432.083203125,431.98169860839846,1.0,2.0
2016-03-01,435.12298583984375,434.1989990234375,431.77759704589846,1.0,0.0
2016-03-02,423.989013671875,432.5664001464844,430.29669799804685,1.0,0.0
2016-03-03,421.6510009765625,430.3927978515625,428.68699951171874,1.0,0.0
2016-03-04,410.9389953613281,425.8797973632812,427.7072998046875,-1.0,-2.0
2016-03-05,400.57000732421875,418.45440063476565,425.2688018798828,-1.0,0.0
